Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET
146944,571535329,145.184205774,-5.75277395699,-39.725421783,-139.525047567,40.1398,-1.9591,-1.71461,1,46.7276,1.21937
146944,570992396,43.8914023122,34.9908225482,18.8818376619,18.5893135201,39.7603,0.451987,0.494841,-1,49.9773,-2.86708
146944,570737853,51.5596849848,-37.4676854842,-4.46928107683,35.1367047851,37.7333,0.831868,-3.02287,1,39.9937,-0.110028
146944,570327999,38.8603586197,-29.9479494681,-8.04614334059,23.4199959087,31.01,0.697334,-2.87912,-1,27.9312,0.0973095
146944,572659626,42.1200621616,-30.9757784307,-7.03949529261,27.6592684185,31.7656,0.786952,-2.91813,1,27.9659,0.256441
146944,572952211,54.7520382266,-15.4121443864,30.5263751266,42.7595691432,34.1964,1.04785,2.03834,-1,41.0237,-1.06114
146944,572461556,39.2947970729,-28.2183080142,18.9535628487,-19.7119116645,33.9928,-0.5515,2.55013,-1,29.2113,-0.665805
146944,571858485,133.191840984,36.6786057926,10.5234674738,-127.608745196,38.1584,-1.92201,0.279405,-1,36.3211,-2.78408
146944,572777517,77.510737165,-10.723003529,34.529523509,-68.5611582,36.1562,-1.39625,1.8719,1,39.4984,-1.62496
146944,571930150,45.6071736653,-27.0008306082,18.6588717493,31.6670929762,32.8207,0.8563,2.5369,1,46.2049,-0.562047
146944,574049994,33.3698273831,-20.1654120823,26.2574958881,4.17543783698,33.1074,0.125786,2.22571,-1,19.624,-0.192615
146944,573269643,76.0031285318,28.8391101659,-27.5829386493,-64.6834724118,39.9063,-1.26,-0.763138,-1,43.6656,2.85109
146944,573659363,67.1609497875,27.7824349786,43.5275812968,-42.9426127032,51.6383,-0.757157,1.00271,1,33.8783,-2.30359
146944,573926483,61.9244547193,44.5593634324,14.0515405654,-40.640426509,46.7224,-0.786271,0.305474,1,58.5701,-3.0931
146944,573466660,71.4810804587,-5.78356837622,-34.0285043616,-62.5950870884,34.5165,-1.35697,-1.73915,-1,26.7178,1.58146
146944,573590151,53.3169668824,-28.6276454532,24.1011203018,-37.9773841891,37.422,-0.891829,2.44183,1,31.2234,-0.80067
146944,573933919,51.3513549459,-10.653108535,-36.875941449,34.1119731456,38.3839,0.800448,-1.85203,1,35.7055,1.54791
146944,574925968,82.5871993596,-25.7874672581,-23.9279641028,-74.7201003792,35.1787,-1.49776,-2.39358,1,33.5317,0.807348
146944,574903449,68.3943151824,-23.2161838158,27.8988009248,57.9692754963,36.2951,1.24748,2.26484,1,19.7793,-1.31059
146944,575222113,47.1202429183,-5.29161309933,32.0390551424,-34.1438706853,32.4731,-0.917291,1.73448,-1,16.9227,-1.31478
